Day, Price in CHF, Daily DOT Volume, Staking Rewards in DOT, Number of Payouts, Value in Fiat
31-12-2020, 6.42, 1025242536.6467834, 0, 1, 0
01-01-2021, 8.27, 1700660394.4797094, 0, 1, 0
03-01-2021, 8.21, 1677231072.8188484, 0, 2, 0
04-01-2021, 9.08, 1789140631.9498596, 54.5366435493, 1, 495.192723427644
05-01-2021, 8.16, 1575996720.538055, 76.49843311560001, 1, 624.2272142232961
07-01-2021, 8.87, 1214927258.1305974, 137.6819073902, 2, 1221.2385185510739
08-01-2021, 8.54, 1201839718.5716074, 69.4020481731, 1, 592.693491398274
09-01-2021, 8.25, 1002611593.4479842, 68.7591776709, 1, 567.263215784925
11-01-2021, 8.28, 743315163.97395, 152.8696553059, 2, 1265.760745932852
13-01-2021, 7.32, 749490594.297753, 135.17382787510002, 2, 989.4724200457322
14-01-2021, 9.78, 1838995562.3460846, 59.7522116938, 1, 584.376630365364
16-01-2021, 11.76, 3626180468.2680936, 171.0893918556, 2, 2012.011248221856
17-01-2021, 16.29, 6534401125.7923, 73.2427006044, 1, 1193.1235928456758
18-01-2021, 15.11, 3869237038.5950503, 80.1032106443, 1, 1210.3595128353732
19-01-2021, 14.63, 2087593011.7909884, 67.7472006784, 1, 991.1415459249921
20-01-2021, 14.65, 1866219181.5607562, 67.7110201081, 1, 991.9664445836651
21-01-2021, 15.98, 2755599223.427533, 76.7141701628, 1, 1225.892439201544
22-01-2021, 14.17, 2770491699.983814, 73.8147553456, 1, 1045.955083247152
23-01-2021, 15.18, 2447330526.903971, 78.209820062, 1, 1187.22506854116
24-01-2021, 16.47, 1961638541.5376503, 93.28366069660001, 1, 1536.381891673002
25-01-2021, 15.94, 1345071421.3939128, 82.5786437748, 1, 1316.303581770312
26-01-2021, 15.32, 1469541677.306247, 79.7299796369, 1, 1221.463288037308
27-01-2021, 15.17, 1149776177.3344817, 66.5898193793, 1, 1010.1675599839809
28-01-2021, 13.75, 1189042276.0570848, 79.7039126476, 1, 1095.9287989045001
29-01-2021, 15.06, 1351388047.3450677, 51.6387368931, 1, 777.679377610086
30-01-2021, 14.98, 1658961621.205451, 59.1514445593, 1, 886.088639498314
