Day, Price in USD, Daily DOT Volume, Staking Rewards in DOT, Number of Payouts, Value in Fiat
31-12-2020, 7.28, 1162860045.9212942, 0, 1, 0
01-01-2021, 9.36, 1926142318.8993368, 0, 1, 0
03-01-2021, 9.22, 1884370500.0352182, 0, 2, 0
04-01-2021, 10.28, 2026241252.0596154, 54.5366435493, 1, 560.636695686804
05-01-2021, 9.26, 1788452339.2778962, 76.49843311560001, 1, 708.3754906504561
07-01-2021, 10.1, 1383529724.4738817, 137.6819073902, 2, 1390.5872646410198
08-01-2021, 9.65, 1357811528.895877, 69.4020481731, 1, 669.729764870415
09-01-2021, 9.31, 1132451712.0402448, 68.7591776709, 1, 640.1479441160791
11-01-2021, 9.33, 837525001.2664026, 152.8696553059, 2, 1426.2738840040472
13-01-2021, 8.26, 845668469.3126857, 135.17382787510002, 2, 1116.535818248326
14-01-2021, 11.02, 2072789652.8729303, 59.7522116938, 1, 658.469372865676
16-01-2021, 13.2, 4067988418.441339, 171.0893918556, 2, 2258.37997249392
17-01-2021, 18.28, 7335372449.691468, 73.2427006044, 1, 1338.876567048432
18-01-2021, 16.94, 4336834538.540487, 80.1032106443, 1, 1356.9483883144421
19-01-2021, 16.42, 2342725151.713157, 67.7472006784, 1, 1112.4090351393281
20-01-2021, 16.5, 2101304751.9949412, 67.7110201081, 1, 1117.23183178365
21-01-2021, 17.97, 3098835544.8857055, 76.7141701628, 1, 1378.553637825516
22-01-2021, 16, 3129318087.8445983, 73.8147553456, 1, 1181.0360855296
23-01-2021, 17.15, 2765854645.4363594, 78.209820062, 1, 1341.2984140633
24-01-2021, 18.6, 2215949804.9533052, 93.28366069660001, 1, 1735.0760889567603
25-01-2021, 18, 1518953639.2466738, 82.5786437748, 1, 1486.4155879464
26-01-2021, 17.26, 1654796100.7896485, 79.7299796369, 1, 1376.139448532894
27-01-2021, 17.11, 1296758574.747851, 66.5898193793, 1, 1139.3518095798229
28-01-2021, 15.46, 1336945930.4510188, 79.7039126476, 1, 1232.2224895318961
29-01-2021, 16.95, 1520805815.1531267, 51.6387368931, 1, 875.276590338045
30-01-2021, 16.81, 1861571320.5965343, 59.1514445593, 1, 994.335783041833
